OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1167;1;0;60;68;2018;3;19;3;3;2;6;0;0;1;0;0;1;0;0;576251.6814;5985845.6162;10.163718142;54.015255385
1168;1;0;56;5;2018;3;13;5;3;2;6;0;0;1;0;0;0;0;0;559759.7544;5946677.3562;9.90444747;53.665421833
1169;1;0;2;0;2018;2;20;3;3;5;7;2;0;1;0;0;0;1;0;573766.5676;6020602.7773;10.134313415;54.327941182
1170;1;0;60;19;2018;3;7;5;3;6;2;0;0;1;1;0;0;0;2;560688.2406;5956979.5113;9.920516936;53.757902349
1171;1;0;58;30;2018;3;10;7;3;2;6;0;0;1;0;0;0;0;2;539224.3137;6030535.6778;9.604511817;54.421030643
1172;1;0;54;109;2018;2;8;3;3;8;7;0;0;1;0;0;0;0;1;494715.7189;6069175.8135;8.917862119;54.769775163
1173;1;0;2;0;2018;3;20;2;2;6;4;2;0;1;1;0;0;0;0;574117.9318;6018709.309;10.139244973;54.310876217
1174;1;0;59;73;2018;2;14;3;3;2;6;0;0;1;0;0;0;0;0;540538.0354;6045746.9532;9.626844838;54.557625992
1175;1;0;60;5;2018;2;15;3;3;2;6;0;0;1;0;0;0;0;0;585302.4899;5977815.8973;10.299562416;53.941687134
1176;1;0;60;63;2018;2;14;2;2;2;6;0;0;0;0;0;1;0;1;562271.0726;5947741.2868;9.942663454;53.674690526
1177;1;0;54;56;2018;3;7;4;3;0;7;0;1;1;0;0;0;0;0;504674.8196;6036471.9019;9.072142649;54.475871926
1178;1;0;59;75;2018;2;8;3;3;1;6;0;0;1;0;0;0;0;0;535802.5001;6039048.2772;9.552808796;54.497784133
1179;1;0;1;0;2018;3;8;6;3;9;7;0;1;0;0;0;0;0;1;525783.2986;6067835.9844;9.400646625;54.757100584
1180;1;0;58;9;2018;3;10;3;3;4;6;0;0;1;0;0;0;1;0;546304.5721;5992570.4276;9.707756217;54.079247338
1181;1;0;59;75;2018;3;17;3;3;5;2;0;1;1;0;0;0;0;0;537176.6098;6042905.0007;9.574510786;54.532344463
1182;1;0;53;43;2018;3;7;6;2;8;7;0;0;1;0;0;0;0;1;615147.1257;5961672.9016;10.747976011;53.790881939
1183;1;0;59;75;2018;3;12;5;3;6;2;0;0;1;1;0;0;0;1;536292.9087;6042078.2335;9.560753363;54.524978646
1184;1;0;60;64;2018;3;17;1;2;2;6;0;0;1;0;0;0;0;0;562012.0226;5968094.9585;9.94283196;53.857640931
1185;1;0;1;0;2018;2;12;3;3;5;2;0;0;1;0;0;0;0;0;526931.817;6073837.0324;9.419050119;54.810968761
1186;1;0;54;109;2018;2;8;4;3;8;1;0;0;1;0;0;0;0;2;494663.1478;6069136.8261;8.917045681;54.769424237
1187;1;0;56;39;2018;2;10;2;3;2;6;0;0;1;0;0;0;0;1;552637.1036;5948082.9148;9.796898704;53.678819936
1188;1;0;62;20;2018;3;6;4;3;2;6;0;0;1;0;0;0;0;0;592184.0714;5938459.4726;10.392615328;53.586866539
1189;1;0;56;46;2018;2;17;3;2;2;6;0;0;1;0;0;0;1;0;547415.7253;5954355.7421;9.7188172;53.735697752
1190;1;0;3;0;2018;3;12;6;3;5;3;0;1;1;0;0;0;0;0;610682.6379;5968244.7664;10.682600605;53.850894132
1191;1;0;62;93;2018;3;17;3;3;7;7;0;0;1;0;0;0;0;1;594786.042;5968124.148;10.440994143;53.852954983
1192;1;0;62;60;2018;3;16;6;2;5;3;0;1;1;0;0;0;0;0;581097.494;5929963.639;10.222973006;53.512350272
1193;1;0;53;89;2018;2;13;3;3;2;6;0;0;1;0;0;1;0;2;597704.1458;5936198.2362;10.475269356;53.565548567
