ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2017;3;14;5;3;2;2;0;1;0;0;0;0;1;9.646489581;52.39927969
2;2017;2;13;4;2;0;1;0;0;0;1;0;0;1;9.605998265;52.31441824
2;2017;3;15;5;3;4;6;0;1;0;0;0;0;1;10.04831062;52.46430462
2;2017;3;16;5;2;6;4;0;1;1;0;0;0;1;9.779611434;52.19538755
2;2017;3;15;5;2;5;2;1;1;0;0;0;0;1;9.752056246;52.5282132
2;2017;3;22;5;2;9;1;0;1;0;0;0;2;1;9.416584392;52.33189129
2;2017;3;5;5;3;5;2;0;1;0;0;0;2;1;9.781724913;52.42485698
2;2017;2;16;4;3;8;1;0;1;0;0;0;0;1;9.978902165;52.37503431
2;2017;3;14;5;2;5;3;1;1;0;0;0;0;1;9.138327965;52.45416642
2;2017;2;15;4;3;8;1;0;1;0;0;0;0;1;9.466269262;52.45426699
2;2017;2;7;4;3;8;7;0;0;0;1;0;0;1;9.753873794;52.05500397
2;2017;2;18;4;3;4;6;0;1;0;0;0;2;1;10.07703624;52.104215
2;2017;2;7;4;1;8;7;0;1;0;0;0;1;1;10.11399194;52.16980071
2;2017;2;16;4;3;2;6;0;1;0;0;0;1;1;9.966885923;52.13782833
2;2017;2;10;4;3;2;6;0;1;0;0;0;0;1;9.972401114;52.15637702
2;2017;3;23;5;3;8;1;0;1;0;0;0;2;1;8.747263045;52.46451171
2;2017;3;20;5;3;5;2;0;1;0;0;0;2;1;9.192308112;52.31098431
2;2017;3;10;5;3;9;1;0;1;0;0;0;0;1;9.415682122;52.6520084
2;2017;3;6;5;1;4;6;0;1;0;0;1;1;1;9.738568996;52.16056344
2;2017;3;14;5;3;5;2;0;1;0;0;0;0;1;9.966997821;52.18344651
2;2017;3;22;5;3;8;7;0;1;0;0;0;2;1;9.644091795;52.0004372
2;2017;3;18;5;3;8;1;0;1;0;0;0;1;1;9.297706111;52.12081468
2;2017;2;13;4;3;6;4;0;1;1;0;0;0;1;9.802879192;51.9409874
2;2017;3;8;5;3;4;1;0;1;0;0;0;0;1;9.97218836;51.5471874
2;2017;2;14;4;3;2;2;0;1;0;0;0;0;1;9.351836455;52.09018414
2;2017;3;22;5;3;8;1;0;1;0;0;0;2;1;10.90233681;52.42076569
2;2017;2;7;4;3;8;1;0;0;0;1;0;1;1;9.358084854;52.0598259
2;2017;3;9;5;3;5;3;0;1;0;0;0;0;1;10.61407642;52.20257757
2;2017;2;11;4;2;9;1;0;1;0;0;0;0;1;9.930960063;51.40971052
2;2017;2;13;4;3;5;3;0;1;0;0;0;0;1;9.939730402;51.51416026
2;2017;2;12;4;3;4;6;0;1;0;0;0;0;1;10.89124165;52.42623129
2;2017;2;16;4;3;2;6;0;1;0;0;0;1;1;10.17817905;52.3435862
2;2017;3;9;5;2;5;3;0;1;0;0;0;0;1;10.49382165;52.15242593
2;2017;2;14;4;3;5;3;1;1;0;0;0;0;1;10.21149878;52.3255122
2;2017;2;13;4;3;5;3;0;1;0;0;0;0;1;10.32782296;52.14536201
2;2017;3;10;5;2;8;1;0;0;0;0;1;0;1;10.2926952;52.2833877
2;2017;2;13;4;2;8;1;0;0;0;0;1;0;0;10.82351652;52.48400812
2;2017;3;13;5;2;6;4;0;1;1;0;0;0;1;10.53862466;52.38057752
2;2017;3;8;4;3;2;2;0;1;0;0;1;0;1;8.280654886;52.21137802
2;2017;2;16;4;3;5;3;0;1;0;0;0;0;1;10.36955515;52.51230902
2;2017;3;16;4;3;5;3;0;1;0;0;0;0;0;7.946971527;52.3034888
2;2017;2;16;4;3;8;1;0;1;0;0;0;0;1;10.49038735;52.283476
2;2017;3;20;4;3;4;2;0;1;0;0;0;2;0;7.489518112;53.33329168
2;2017;3;7;4;3;0;7;0;1;0;0;1;0;1;7.61700098;52.80840955
2;2017;3;11;4;3;2;2;0;1;0;0;0;0;0;7.465382827;53.0431764
2;2017;3;13;4;3;2;2;0;1;0;0;0;0;0;7.486126837;53.01601198
2;2017;3;16;4;3;5;3;0;1;0;0;0;0;0;7.100405521;52.29612764
2;2017;2;16;4;3;9;1;0;1;0;0;0;1;1;10.50057765;52.07192949
2;2017;3;17;4;3;0;7;0;0;0;1;0;0;1;7.078065578;52.44055884
2;2017;2;11;4;1;9;6;0;0;0;0;1;0;1;10.65029306;52.30970243
2;2017;3;15;4;2;8;6;0;1;0;0;0;0;1;7.367350022;52.66013557
2;2017;2;0;4;3;3;6;0;1;0;0;1;2;0;10.34970448;52.34004256
2;2017;2;19;3;3;2;2;0;1;0;1;0;2;0;8.413991627;52.21280095
2;2017;3;11;2;3;2;6;0;1;0;0;1;0;0;7.937088005;52.55655444
2;2017;3;16;2;3;5;3;1;1;0;0;0;0;0;8.038384569;52.28726424
2;2017;3;7;2;3;2;6;0;1;0;0;0;0;0;7.990438739;52.29595451
2;2017;3;12;2;3;2;6;0;1;0;0;0;0;0;7.459441533;53.15997707
2;2017;3;20;2;2;9;7;0;1;0;0;0;2;0;7.48537137;53.01697665
2;2017;3;19;2;3;5;3;0;1;0;1;0;2;0;7.067158552;52.3965799
2;2017;3;11;2;2;5;3;0;1;0;0;0;0;0;7.341969104;53.57831676
2;2017;3;13;2;2;5;3;0;1;0;0;0;0;0;7.269324364;53.44951576
2;2017;3;6;2;3;3;6;0;1;0;0;1;1;0;7.939977303;52.94351967
2;2017;3;17;2;3;2;6;0;1;0;0;0;0;0;7.93481398;52.70234799
